Initializing model...
Mode: model_id=Qwen/Qwen2.5-VL-32B-Instruct | uses_tools=False | uses_image=False
Config 01/20 | Run 07/10
Config 01/20 | Run 08/10
Config 01/20 | Run 09/10
Config 01/20 | Run 10/10
Config 02/20 | Run 01/10
Config 02/20 | Run 02/10
Config 02/20 | Run 03/10
Config 02/20 | Run 04/10
Config 02/20 | Run 05/10
Config 02/20 | Run 06/10
Config 02/20 | Run 07/10
Config 02/20 | Run 08/10
Config 02/20 | Run 09/10
Config 02/20 | Run 10/10
Config 03/20 | Run 01/10
Config 03/20 | Run 02/10
Config 03/20 | Run 03/10
Config 03/20 | Run 04/10
Config 03/20 | Run 05/10
Config 03/20 | Run 06/10
Config 03/20 | Run 07/10
Config 03/20 | Run 08/10
Config 03/20 | Run 09/10
Config 03/20 | Run 10/10
Config 04/20 | Run 01/10
Config 04/20 | Run 02/10
Config 04/20 | Run 03/10
Config 04/20 | Run 04/10
Config 04/20 | Run 05/10
Config 04/20 | Run 06/10
Config 04/20 | Run 07/10
Config 04/20 | Run 08/10
Config 04/20 | Run 09/10
Config 04/20 | Run 10/10
Config 05/20 | Run 01/10
Config 05/20 | Run 02/10
Config 05/20 | Run 03/10
Config 05/20 | Run 04/10
Config 05/20 | Run 05/10
Config 05/20 | Run 06/10
Config 05/20 | Run 07/10
Config 05/20 | Run 08/10
Config 05/20 | Run 09/10
Config 05/20 | Run 10/10
Config 06/20 | Run 01/10
Config 06/20 | Run 02/10
Config 06/20 | Run 03/10
Config 06/20 | Run 04/10
Config 06/20 | Run 05/10
Config 06/20 | Run 06/10
Config 06/20 | Run 07/10
Config 06/20 | Run 08/10
Config 06/20 | Run 09/10
Config 06/20 | Run 10/10
Config 07/20 | Run 01/10
Config 07/20 | Run 02/10
Config 07/20 | Run 03/10
Config 07/20 | Run 04/10
Config 07/20 | Run 05/10
Config 07/20 | Run 06/10
Config 07/20 | Run 07/10
Config 07/20 | Run 08/10
Config 07/20 | Run 09/10
Config 07/20 | Run 10/10
Config 08/20 | Run 01/10
Config 08/20 | Run 02/10
Config 08/20 | Run 03/10
Config 08/20 | Run 04/10
Config 08/20 | Run 05/10
Config 08/20 | Run 06/10
Config 08/20 | Run 07/10
Config 08/20 | Run 08/10
Config 08/20 | Run 09/10
Config 08/20 | Run 10/10
Config 09/20 | Run 01/10
Config 09/20 | Run 02/10
Config 09/20 | Run 03/10
Config 09/20 | Run 04/10
Config 09/20 | Run 05/10
Config 09/20 | Run 06/10
Config 09/20 | Run 07/10
Config 09/20 | Run 08/10
Config 09/20 | Run 09/10
Config 09/20 | Run 10/10
Config 10/20 | Run 01/10
Config 10/20 | Run 02/10
Config 10/20 | Run 03/10
Config 10/20 | Run 04/10
Config 10/20 | Run 05/10
Config 10/20 | Run 06/10
Config 10/20 | Run 07/10
Config 10/20 | Run 08/10
Config 10/20 | Run 09/10
Config 10/20 | Run 10/10
Config 11/20 | Run 01/10
Config 11/20 | Run 02/10
Config 11/20 | Run 03/10
Config 11/20 | Run 04/10
Config 11/20 | Run 05/10
Config 11/20 | Run 06/10
Config 11/20 | Run 07/10
Config 11/20 | Run 08/10
Config 11/20 | Run 09/10
Config 11/20 | Run 10/10
Config 12/20 | Run 01/10
Config 12/20 | Run 02/10
Config 12/20 | Run 03/10
Config 12/20 | Run 04/10
Config 12/20 | Run 05/10
Config 12/20 | Run 06/10
Config 12/20 | Run 07/10
Config 12/20 | Run 08/10
Config 12/20 | Run 09/10
Config 12/20 | Run 10/10
Config 13/20 | Run 01/10
Config 13/20 | Run 02/10
Config 13/20 | Run 03/10
Config 13/20 | Run 04/10
Config 13/20 | Run 05/10
Config 13/20 | Run 06/10
Config 13/20 | Run 07/10
Config 13/20 | Run 08/10
Config 13/20 | Run 09/10
Config 13/20 | Run 10/10
Config 14/20 | Run 01/10
Config 14/20 | Run 02/10
Config 14/20 | Run 03/10
Config 14/20 | Run 04/10
Config 14/20 | Run 05/10
Config 14/20 | Run 06/10
Config 14/20 | Run 07/10
